local_time,electricity
1/1/19 0:00,0
1/1/19 1:00,0
1/1/19 2:00,0
1/1/19 3:00,0
1/1/19 4:00,0
1/1/19 5:00,0
1/1/19 6:00,0
1/1/19 7:00,0
1/1/19 8:00,0.001
1/1/19 9:00,0.024
1/1/19 10:00,0.048
1/1/19 11:00,0.044
1/1/19 12:00,0.047
1/1/19 13:00,0.038
1/1/19 14:00,0.021
1/1/19 15:00,0.004
1/1/19 16:00,0
1/1/19 17:00,0
1/1/19 18:00,0
1/1/19 19:00,0
1/1/19 20:00,0
1/1/19 21:00,0
1/1/19 22:00,0
1/1/19 23:00,0
1/2/19 0:00,0
1/2/19 1:00,0
1/2/19 2:00,0
1/2/19 3:00,0
1/2/19 4:00,0
1/2/19 5:00,0
1/2/19 6:00,0
1/2/19 7:00,0
1/2/19 8:00,0.023
1/2/19 9:00,0.161
1/2/19 10:00,0.373
1/2/19 11:00,0.472
1/2/19 12:00,0.463
1/2/19 13:00,0.388
1/2/19 14:00,0.219
1/2/19 15:00,0.05
1/2/19 16:00,0
1/2/19 17:00,0
1/2/19 18:00,0
1/2/19 19:00,0
1/2/19 20:00,0
1/2/19 21:00,0
1/2/19 22:00,0
1/2/19 23:00,0
1/3/19 0:00,0
1/3/19 1:00,0
1/3/19 2:00,0
1/3/19 3:00,0
1/3/19 4:00,0
1/3/19 5:00,0
1/3/19 6:00,0
1/3/19 7:00,0
1/3/19 8:00,0.018
1/3/19 9:00,0.122
1/3/19 10:00,0.252
1/3/19 11:00,0.337
1/3/19 12:00,0.323
1/3/19 13:00,0.24
1/3/19 14:00,0.14
1/3/19 15:00,0.035
1/3/19 16:00,0
1/3/19 17:00,0
1/3/19 18:00,0
1/3/19 19:00,0
1/3/19 20:00,0
1/3/19 21:00,0
1/3/19 22:00,0
1/3/19 23:00,0
1/4/19 0:00,0
1/4/19 1:00,0
1/4/19 2:00,0
1/4/19 3:00,0
1/4/19 4:00,0
1/4/19 5:00,0
1/4/19 6:00,0
1/4/19 7:00,0
1/4/19 8:00,0.056
1/4/19 9:00,0.248
1/4/19 10:00,0.36
1/4/19 11:00,0.386
1/4/19 12:00,0.35
1/4/19 13:00,0.252
1/4/19 14:00,0.138
1/4/19 15:00,0.055
1/4/19 16:00,0
1/4/19 17:00,0
1/4/19 18:00,0
1/4/19 19:00,0
1/4/19 20:00,0
1/4/19 21:00,0
1/4/19 22:00,0
1/4/19 23:00,0
1/5/19 0:00,0
1/5/19 1:00,0
1/5/19 2:00,0
1/5/19 3:00,0
1/5/19 4:00,0
1/5/19 5:00,0
1/5/19 6:00,0
1/5/19 7:00,0
1/5/19 8:00,0.033
1/5/19 9:00,0.194
1/5/19 10:00,0.361
1/5/19 11:00,0.477
1/5/19 12:00,0.5
1/5/19 13:00,0.439
1/5/19 14:00,0.298
1/5/19 15:00,0.09
1/5/19 16:00,0
1/5/19 17:00,0
1/5/19 18:00,0
1/5/19 19:00,0
1/5/19 20:00,0
1/5/19 21:00,0
1/5/19 22:00,0
1/5/19 23:00,0
1/6/19 0:00,0
1/6/19 1:00,0
1/6/19 2:00,0
1/6/19 3:00,0
1/6/19 4:00,0
1/6/19 5:00,0
1/6/19 6:00,0
1/6/19 7:00,0
1/6/19 8:00,0.001
1/6/19 9:00,0.022
1/6/19 10:00,0.05
1/6/19 11:00,0.073
1/6/19 12:00,0.117
1/6/19 13:00,0.137
1/6/19 14:00,0.067
1/6/19 15:00,0.008
1/6/19 16:00,0
1/6/19 17:00,0
1/6/19 18:00,0
1/6/19 19:00,0
1/6/19 20:00,0
1/6/19 21:00,0
1/6/19 22:00,0
1/6/19 23:00,0
1/7/19 0:00,0
1/7/19 1:00,0
1/7/19 2:00,0
1/7/19 3:00,0
1/7/19 4:00,0
1/7/19 5:00,0
1/7/19 6:00,0
1/7/19 7:00,0
1/7/19 8:00,0.002
1/7/19 9:00,0.036
1/7/19 10:00,0.109
1/7/19 11:00,0.129
1/7/19 12:00,0.133
1/7/19 13:00,0.087
1/7/19 14:00,0.053
1/7/19 15:00,0.015
1/7/19 16:00,0
1/7/19 17:00,0
1/7/19 18:00,0
1/7/19 19:00,0
1/7/19 20:00,0
1/7/19 21:00,0
1/7/19 22:00,0
1/7/19 23:00,0
1/8/19 0:00,0
1/8/19 1:00,0
1/8/19 2:00,0
1/8/19 3:00,0
1/8/19 4:00,0
1/8/19 5:00,0
1/8/19 6:00,0
1/8/19 7:00,0
1/8/19 8:00,0.006
1/8/19 9:00,0.044
1/8/19 10:00,0.108
1/8/19 11:00,0.216
1/8/19 12:00,0.319
1/8/19 13:00,0.317
1/8/19 14:00,0.247
1/8/19 15:00,0.073
1/8/19 16:00,0
1/8/19 17:00,0
1/8/19 18:00,0
1/8/19 19:00,0
1/8/19 20:00,0
1/8/19 21:00,0
1/8/19 22:00,0
1/8/19 23:00,0
1/9/19 0:00,0
1/9/19 1:00,0
1/9/19 2:00,0
1/9/19 3:00,0
1/9/19 4:00,0
1/9/19 5:00,0
1/9/19 6:00,0
1/9/19 7:00,0
1/9/19 8:00,0.028
1/9/19 9:00,0.136
1/9/19 10:00,0.425
1/9/19 11:00,0.501
